senator,party,ticker,gics_sector,transaction_date,excess_ret_90,cate,cate_lb,cate_ub
"David A Perdue , Jr",Republican,KO,Consumer Staples,2015-04-02,0.0280422525424945,0.024168315599994758,-0.01415928186890841,0.062495913068897915
"David A Perdue , Jr",Republican,JNJ,Health Care,2015-04-02,0.0008875748479486,0.01962748030327551,-0.022454222571956742,0.061709183178507744
"David A Perdue , Jr",Republican,SYY,Consumer Staples,2015-04-02,0.0168581730398742,0.024168315599994758,-0.01415928186890841,0.062495913068897915
"David A Perdue , Jr",Republican,PG,Consumer Staples,2015-04-02,-0.0603024825226552,0.024168315599994758,-0.01415928186890841,0.062495913068897915
"David A Perdue , Jr",Republican,FOX,Communication Services,2015-04-02,-0.0676005808623505,0.027345109895762387,-0.008633527297720277,0.06332374708924503
Sheldon Whitehouse,Democrat,GILD,Health Care,2015-04-07,0.1714662014023424,0.012708711232279393,-0.053940467812626305,0.0793578902771851
Sheldon Whitehouse,Democrat,NFLX,Communication Services,2015-04-07,1.0452634797638871,0.018133164608305632,-0.05287191185987477,0.08913824107648599
Sheldon Whitehouse,Democrat,GILD,Health Care,2015-04-07,0.1714662014023424,0.012708711232279393,-0.053940467812626305,0.0793578902771851
Sheldon Whitehouse,Democrat,BIIB,Health Care,2015-04-07,-0.2492343519016905,0.012708711232279393,-0.053940467812626305,0.0793578902771851
Sheldon Whitehouse,Democrat,UA,Other,2015-04-13,-0.1385243657927896,0.0024284654763100312,-0.041569001207001695,0.04642593215962175
Gary C Peters,Democrat,QCOM,Information Technology,2015-04-14,-0.1218680220371676,-0.0035961037886247356,-0.04141820252885149,0.034225994951602
Gary C Peters,Democrat,DTE,Utilities,2015-04-14,0.0445743637813362,-0.004540775388019469,-0.047459418114019006,0.03837786733798006
Pat Roberts,Republican,NFLX,Communication Services,2015-04-14,0.6448641019004353,-0.0027907549439498028,-0.044699163160866924,0.039117653272967304
Gary C Peters,Democrat,EMR,Industrials,2015-04-14,-0.1439424246005007,0.008770396133775026,-0.04004074018546266,0.0575815324530127
"David A Perdue , Jr",Republican,MOS,Materials,2015-04-15,-0.1255460976824126,-0.004643261124716917,-0.03833455910330124,0.029048036853867396
"David A Perdue , Jr",Republican,KN,Other,2015-04-17,-0.3354530966398963,-0.007529659939310629,-0.04741744084800593,0.032358120969384674
James M Inhofe,Republican,EMR,Industrials,2015-04-21,-0.1673558980112427,0.010897316121907818,-0.03305735387161954,0.05485198611543517
Thomas R Carper,Democrat,AAPL,Information Technology,2015-04-22,-0.1115767238859939,-0.005932094009559611,-0.02945182307350632,0.01758763505438709
"David A Perdue , Jr",Republican,KN,Other,2015-04-23,-0.2335930406414725,-0.024148560064081982,-0.07237212707736683,0.024075006949202865
John F Reed,Republican,ESRX,Other,2015-04-23,-0.0379354007150378,-0.024148560064081982,-0.07237212707736683,0.024075006949202865
John F Reed,Republican,MSFT,Information Technology,2015-04-23,0.0172724558236518,-0.005005382085147963,-0.02865462956606243,0.018643865395766488
Pat Roberts,Republican,COST,Consumer Staples,2015-04-24,-0.0612225679237616,-0.0012106713211581252,-0.027329814892784143,0.02490847225046789
Pat Roberts,Republican,BA,Industrials,2015-04-24,-0.130276065248954,0.010917511084225834,-0.027070940308884815,0.04890596247733647
Pat Roberts,Republican,CVX,Energy,2015-04-24,-0.27224655830362,-0.00244912569502411,-0.029923356479087164,0.025025105089038942
"David A Perdue , Jr",Republican,KN,Other,2015-04-24,-0.2032408168131992,-0.019671301409720596,-0.06926325803467044,0.029920655215229228
"David A Perdue , Jr",Republican,KN,Other,2015-04-24,-0.2032408168131992,-0.019671301409720596,-0.06926325803467044,0.029920655215229228
Patrick J Toomey,Republican,PG,Consumer Staples,2015-04-27,-0.1268250481542803,0.007895285031385429,-0.014473746224470355,0.0302643162872412
James M Inhofe,Republican,PG,Consumer Staples,2015-04-29,-0.1318448025830164,0.015651710926474043,-0.0033297807719954962,0.0346332026249436
John F Reed,Republican,TBF,Other,2015-05-04,-0.0063226447194282,-0.007465096279717934,-0.04013352580331952,0.025203333243883647
John F Reed,Republican,TBF,Other,2015-05-04,-0.0063226447194282,-0.007465096279717934,-0.04013352580331952,0.025203333243883647
"David A Perdue , Jr",Republican,SYY,Consumer Staples,2015-05-06,0.1175973094511075,0.002930602244657084,-0.032488920613987976,0.038350125103302136
Sheldon Whitehouse,Democrat,BIIB,Health Care,2015-05-07,-0.1655061862647387,-0.00010608492441671251,-0.027509805883695372,0.02729763603486194
Sheldon Whitehouse,Democrat,NFLX,Communication Services,2015-05-07,0.2279915881718077,0.0018273195213927554,-0.0318067555510644,0.03546139459384991
