transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link,amount_low_usd,amount_high_usd,amount_mid_usd,party,ret_30,bench_ret_30,rf_30,excess_ret_30,bench_excess_30,ret_90,bench_ret_90,rf_90,excess_ret_90,bench_excess_90,ret_180,bench_ret_180,rf_180,excess_ret_180,bench_excess_180,gics_sector,gics_sub_industry
2018-10-25,Joint,RPM,RPM International Inc.,Stock,Sale (Partial),"$50,001 - $100,000",--,Daniel S Sullivan,https://efdsearch.senate.gov/search/view/ptr/954bf027-bb1c-4ee1-bb59-f6e1ff493de3/,50001.0,100000.0,70711.38522190045,Republican,0.015875848709991702,-0.025077930322238373,0.002687409885884229,0.013188438824107473,-0.027765340208122602,-0.0414436450976875,0.013860295262188238,0.00808391558227295,-0.04952756067996045,0.005776379679915289,0.06234485555982294,0.10306510142785408,0.016233180855687035,0.04611167470413591,0.08683192057216704,Other,Other
2016-10-31,Spouse,TROW,"T. Rowe Price Group, Inc.",Stock,Purchase,"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/a57e8890-7890-4e0e-bef7-bd8fb22c9d44/,1001.0,15000.0,3874.9193539995126,Republican,0.20273091826115608,0.06846651226186196,0.0003507349642983826,0.2023801832968577,0.06811577729756357,0.13129729680240798,0.11632296861418046,0.001052573981086491,0.1302447228213215,0.11527039463309396,0.2959256889391648,0.16334692508993864,0.002106255874158691,0.29381943306500613,0.16124066921577995,Financials,Asset Management & Custody Banks
2018-08-07,Joint,WBA,"Walgreens Boots Alliance, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,Ladda Tammy Duckworth,https://efdsearch.senate.gov/search/view/ptr/f4e5c2ca-6b28-45bc-8252-e6102d7a771b/,1001.0,15000.0,3874.9193539995126,Democrat,,0.017317077732883268,0.0023695952759892336,,0.014947482456894035,,-0.09043362816061307,0.007125644078517901,,-0.09755927223913097,,0.028487443555637926,0.014302062960569684,,0.014185380595068242,Other,Other
2018-08-07,Joint,MDLZ,"Mondelez International, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,Ladda Tammy Duckworth,https://efdsearch.senate.gov/search/view/ptr/f4e5c2ca-6b28-45bc-8252-e6102d7a771b/,1001.0,15000.0,3874.9193539995126,Democrat,0.011644274258466147,0.017317077732883268,0.0023695952759892336,0.009274678982476914,0.014947482456894035,0.02034125372708484,-0.09043362816061307,0.007125644078517901,0.01321560964856694,-0.09755927223913097,0.19216387809770485,0.028487443555637926,0.014302062960569684,0.17786181513713517,0.014185380595068242,Consumer Staples,Packaged Foods & Meats
2018-08-07,Joint,GE,General Electric Company,Stock,Sale (Full),"$1,001 - $15,000",--,Ladda Tammy Duckworth,https://efdsearch.senate.gov/search/view/ptr/f4e5c2ca-6b28-45bc-8252-e6102d7a771b/,1001.0,15000.0,3874.9193539995126,Democrat,-0.013482313084663078,0.017317077732883268,0.0023695952759892336,-0.01585190836065231,0.014947482456894035,-0.45534409684033617,-0.09043362816061307,0.007125644078517901,-0.46246974091885407,-0.09755927223913097,-0.234639694876429,0.028487443555637926,0.014302062960569684,-0.24894175783699868,0.014185380595068242,Industrials,Aerospace & Defense
2018-10-12,Spouse,WMT,Walmart Inc.,Stock,Purchase,"$1,001 - $15,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/03cb719a-2b68-4f51-b5ee-c96a9b9b9e13/,1001.0,15000.0,3874.9193539995126,Republican,0.003586204568660767,-0.033854548072535406,0.002615032400815176,0.0009711721678455909,-0.03646958047335058,0.051164679375205635,0.010473026506410132,0.007865630268440338,0.0432990491067653,0.0026073962379697946,0.20392104841227643,0.08264526611755407,0.01579312867640037,0.18812791973587606,0.0668521374411537,Consumer Staples,Consumer Staples Merchandise Retail
2018-10-12,Spouse,FB,"Facebook, Inc.",Stock,Purchase,"$1,001 - $15,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/03cb719a-2b68-4f51-b5ee-c96a9b9b9e13/,1001.0,15000.0,3874.9193539995126,Republican,,-0.033854548072535406,0.002615032400815176,,-0.03646958047335058,,0.010473026506410132,0.007865630268440338,,0.0026073962379697946,,0.08264526611755407,0.01579312867640037,,0.0668521374411537,Other,Other
2018-09-07,Joint,F,Ford Motor Company,Stock,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/3e8e22b4-31a1-4015-8a2d-2131d45f68ff/,1001.0,15000.0,3874.9193539995126,Democrat,-0.08306382857674177,-0.036180878376787184,0.002463147745586758,-0.08552697632232853,-0.03864402612237394,-0.08196538249324037,-0.08208434655475527,0.007407659471365902,-0.08937304196460627,-0.08949200602612117,0.10226208474157095,-0.03087388365691668,0.014870192361575274,0.08739189237999567,-0.04574407601849195,Consumer Discretionary,Automobile Manufacturers
2018-09-28,Self,ON,ON Semiconductor Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/3e8e22b4-31a1-4015-8a2d-2131d45f68ff/,1001.0,15000.0,3874.9193539995126,Democrat,-0.029842709457509886,-0.04563173789606312,0.0025356063939006024,-0.03237831585141049,-0.04816734428996372,0.1850244053688086,-0.07072804172906366,0.007626123383229988,0.1773982819855786,-0.07835416511229365,0.0602279214308985,0.0042827955416298025,0.015310404524316201,0.0449175169065823,-0.011027608982686399,Information Technology,Semiconductors
2018-09-25,Self,GILD,"Gilead Sciences, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/ae39aeb9-967e-49eb-be3d-562d7efd2159/,1001.0,15000.0,3874.9193539995126,Republican,-0.0618751172396631,-0.05491572946677703,0.0025566353750994253,-0.06443175261476253,-0.057472364841876455,-0.08986625778831059,-0.061003753600487154,0.007689531989773402,-0.09755578977808399,-0.06869328559026056,-0.09040266407692965,-0.009802603119342002,0.015438192881768398,-0.10584085695869805,-0.0252407960011104,Health Care,Biotechnology
